question,耗时(秒),answer
新生录取后最晚多久要到学校报到？,6.14,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：学籍管理，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、附件2. CET注册用户、重置密码、修改资料流程》等资料中查询。
您也可以尝试更具体的问法，例如：「新生报到有什么要求？」、「保留入学资格的条件是什么？」。"
新生什么情况下可以保留入学资格？,2.14,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：学籍管理，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、附件2. CET注册用户、重置密码、修改资料流程》等资料中查询。
您也可以尝试更具体的问法，例如：「新生报到有什么要求？」、「保留入学资格的条件是什么？」。"
新生入学后多久进行入学资格复查？,1.59,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：学籍管理，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、附件2. CET注册用户、重置密码、修改资料流程》等资料中查询。
您也可以尝试更具体的问法，例如：「新生报到有什么要求？」、「保留入学资格的条件是什么？」。"
复查不合格会怎样？,3.25,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
您可以尝试换个说法提问，或先浏览知识库中的政策文件（如《学生手册》《学籍管理办法》等）。"
学生证丢了怎么补办？,1.89,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
您可以尝试换个说法提问，或先浏览知识库中的政策文件（如《学生手册》《学籍管理办法》等）。"
每学期注册有什么要求？,1.85,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：学籍管理，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、附件2. CET注册用户、重置密码、修改资料流程》等资料中查询。
您也可以尝试更具体的问法，例如：「新生报到有什么要求？」、「保留入学资格的条件是什么？」。"
交不起学费可以注册吗？,2.18,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：学籍管理，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、附件2. CET注册用户、重置密码、修改资料流程》等资料中查询。
您也可以尝试更具体的问法，例如：「新生报到有什么要求？」、「保留入学资格的条件是什么？」。"
没有请假就不去注册会怎样？,3.82,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：学籍管理，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、附件2. CET注册用户、重置密码、修改资料流程》等资料中查询。
您也可以尝试更具体的问法，例如：「新生报到有什么要求？」、「保留入学资格的条件是什么？」。"
什么时间可以申请转专业？,2.76,根据资料，学生可在标准学制内，于第1～3学期的期末提出转专业申请，经学校审批后给予转专业（依据：资料2、资料8）。
哪些情况可以申请转专业？,2.0,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
哪些学生不能申请转专业？,2.78,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
转专业要走什么流程？,2.35,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
转专业名单公示期是多久？,1.5,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
转专业后以前学过的课程怎么办？,3.57,根据现有资料，未找到关于转专业后已修课程如何处理的具体规定。资料中仅提及“学生因转专业或其他原因需补修课程的，应缴纳该课程的补修学分学费”（依据：资料9），但未说明原修课程的学分认定或转换规则。建议您咨询学校教务处或查阅相关学分认定文件（如《学分认定和转换管理办法》）。
转专业学分认定什么时候完成？,2.27,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业、学分认定，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准、关于印发《学分认定和转换管理办法》的通知（广州理工〔2025〕202号）、关于印发《课程重修实施细则》的通知（广州理工〔2025〕93号）、学分互认操作流程》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
想放弃转专业可以吗？,2.42,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
对转专业结果有异议怎么办？,1.78,"抱歉，在现有知识库中没有检索到与您问题直接相关的内容。
不过，根据知识库内容，与您的问题最相关的主题有：转专业，建议您从《关于印发《学籍管理办法(修订)》的通知（广州理工〔2025〕319号）、关于印发《转专业工作实施细则》的通知（广州理工〔2025〕90号）以此为准》等资料中查询。
您也可以尝试更具体的问法，例如：「转专业需要什么条件？」、「转专业申请在什么时间？」。"
